ABLG,AlternateID(s),CollectionDate,Runtime,Sex,Lineage
8530,5677,2005,Early,Male,Odd
8526,5673,2005,Early,Male,Odd
8528,5675,2005,Early,Male,Odd
8534,5681,2005,Early,Male,Odd
8506,5653,2005,Early,Male,Odd
8517,5664,2005,Early,Male,Odd
8538,5685,2005,Early,Male,Odd
8529,5676,2005,Early,Male,Odd
8532,5679,2005,Early,Male,Odd
8406,5527,2006,Early,Female,Even
8411,5532,2006,Early,Female,Even
8401,5522,2006,Early,Female,Even
8400,5521,2006,Early,Female,Even
8397,5518,2006,Early,Female,Even
8396,5517,2006,Early,Female,Even
8384,5505,2006,Early,Female,Even
8382,5503,2006,Early,Female,Even
8391,5512,2006,Early,Female,Even
8389,5510,2006,Early,Female,Even
8395,5516,2006,Early,Female,Even
8398,5519,2006,Early,Female,Even
8394,5515,2006,Early,Female,Even
8388,5509,2006,Early,Female,Even
8387,5508,2006,Early,Female,Even
8393,5514,2006,Early,Female,Even
8385,5506,2006,Early,Female,Even
8381,5502,2006,Early,Female,Even
8399,5520,2006,Early,Female,Even
8380,5501,2006,Early,Female,Even
8383,5504,2006,Early,Female,Even
8386,5507,2006,Early,Female,Even
8404,5525,2006,Early,Female,Even
8405,5526,2006,Early,Female,Even
8407,5528,2006,Early,Female,Even
8408,5529,2006,Early,Female,Even
8412,5533,2006,Early,Female,Even
8414,5535,2006,Early,Female,Even
8415,5536,2006,Early,Female,Even
8416,5537,2006,Early,Female,Even
8417,5538,2006,Early,Female,Even
8418,5539,2006,Early,Female,Even
8419,5540,2006,Early,Female,Even
8420,5541,2006,Early,Female,Even
8421,5542,2006,Early,Female,Even
8422,5543,2006,Early,Female,Even
8423,5544,2006,Early,Female,Even
8258,5856,2006,Late,Female,Even
8291,5889,2006,Late,Female,Even
8290,5888,2006,Late,Female,Even
8270,5868,2006,Late,Female,Even
8261,5859,2006,Late,Female,Even
8280,5878,2006,Late,Female,Even
8296,5894,2006,Late,Female,Even
8285,5883,2006,Late,Female,Even
8259,5857,2006,Late,Female,Even
8277,5875,2006,Late,Female,Even
8293,5891,2006,Late,Female,Even
8279,5877,2006,Late,Female,Even
8276,5874,2006,Late,Female,Even
8288,5886,2006,Late,Female,Even
8272,5870,2006,Late,Female,Even
8295,5893,2006,Late,Female,Even
8266,5864,2006,Late,Female,Even
8286,5884,2006,Late,Female,Even
8275,5873,2006,Late,Female,Even
8273,5871,2006,Late,Female,Even
8253,5851,2006,Late,Female,Even
8289,5887,2006,Late,Female,Even
8263,5861,2006,Late,Female,Even
8267,5865,2006,Late,Female,Even
8256,5854,2006,Late,Female,Even
8282,5880,2006,Late,Female,Even
8292,5890,2006,Late,Female,Even
8262,5860,2006,Late,Female,Even
8284,5882,2006,Late,Female,Even
8287,5885,2006,Late,Female,Even
8257,5855,2006,Late,Female,Even
8260,5858,2006,Late,Female,Even
8283,5881,2006,Late,Female,Even
8294,5892,2006,Late,Female,Even
8268,5866,2006,Late,Female,Even
8274,5872,2006,Late,Female,Even
8265,5863,2006,Late,Female,Even
8424,5551,2006,Early,Male,Even
8444,5571,2006,Early,Male,Even
8442,5569,2006,Early,Male,Even
8461,5588,2006,Early,Male,Even
8459,5586,2006,Early,Male,Even
8463,5590,2006,Early,Male,Even
8425,5552,2006,Early,Male,Even
8426,5553,2006,Early,Male,Even
8427,5554,2006,Early,Male,Even
8428,5555,2006,Early,Male,Even
8429,5556,2006,Early,Male,Even
8430,5557,2006,Early,Male,Even
8431,5558,2006,Early,Male,Even
8432,5559,2006,Early,Male,Even
8433,5560,2006,Early,Male,Even
8435,5562,2006,Early,Male,Even
8436,5563,2006,Early,Male,Even
8437,5564,2006,Early,Male,Even
8438,5565,2006,Early,Male,Even
8439,5566,2006,Early,Male,Even
8441,5568,2006,Early,Male,Even
8443,5570,2006,Early,Male,Even
8445,5572,2006,Early,Male,Even
8446,5573,2006,Early,Male,Even
8447,5574,2006,Early,Male,Even
8449,5576,2006,Early,Male,Even
8450,5577,2006,Early,Male,Even
8451,5578,2006,Early,Male,Even
8452,5579,2006,Early,Male,Even
8453,5580,2006,Early,Male,Even
8454,5581,2006,Early,Male,Even
8455,5582,2006,Early,Male,Even
8456,5583,2006,Early,Male,Even
8457,5584,2006,Early,Male,Even
8458,5585,2006,Early,Male,Even
8460,5587,2006,Early,Male,Even
8462,5589,2006,Early,Male,Even
